VDD_GPU_SOC,VDD_CPU_CV,VIN_SYS_5V0,VDDQ_VDD2_1V8AO,total
5154.0,2377.0,4830.0,805.0,13166.0
4757.0,1981.0,4528.0,503.0,11769.0
5154.0,1981.0,4528.0,503.0,12166.0
5154.0,1981.0,4629.0,603.0,12367.0
5154.0,2377.0,4730.0,704.0,12965.0
5154.0,2377.0,4830.0,805.0,13166.0
5154.0,2377.0,4830.0,704.0,13065.0
5154.0,1981.0,4629.0,603.0,12367.0
5154.0,1981.0,4528.0,503.0,12166.0
4759.0,1981.0,4428.0,402.0,11570.0
4757.0,1981.0,4528.0,503.0,11769.0
5156.0,1982.0,4528.0,503.0,12169.0
5156.0,1982.0,4629.0,603.0,12370.0
5156.0,2378.0,4830.0,704.0,13068.0
5154.0,2377.0,4730.0,704.0,12965.0
5154.0,2377.0,4730.0,704.0,12965.0
5154.0,1981.0,4730.0,603.0,12468.0
5156.0,1982.0,4528.0,503.0,12169.0
4759.0,1982.0,4528.0,503.0,11772.0
5156.0,1982.0,4629.0,603.0,12370.0
5156.0,2378.0,4730.0,603.0,12867.0
5156.0,1982.0,4629.0,603.0,12370.0
5156.0,2378.0,4730.0,603.0,12867.0
5156.0,2378.0,4730.0,704.0,12968.0
5154.0,2377.0,4730.0,704.0,12965.0
5154.0,1981.0,4629.0,603.0,12367.0
5154.0,1981.0,4528.0,503.0,12166.0
4757.0,1981.0,4428.0,402.0,11568.0
4757.0,1981.0,4528.0,503.0,11769.0
